state-city,start_zipcode,end_zipcode
AL-Tallassee,36078,36078
AL-Tanner,35671,35671
AL-Theodore,36582,36590
AL-Thomaston,36783,36783
AL-Thomasville,36784,36784
AL-Thorsby,35171,35171
AL-Tibbie,36583,36583
AL-Titus,36080,36080
AL-Toney,35773,35773
AL-Town Creek,35672,35672
AL-Townley,35587,35587
AL-Toxey,36921,36921
AL-Trafford,35172,35172
AL-Trenton,35774,35774
AL-Trinity,35673,35673
AL-Troy,36079,36082
AL-Trussville,35173,35173
AL-Tuscaloosa,35401,35487
AL-Tuscumbia,35674,35674
AL-Tuskegee,36083,36083
AL-Tuskegee Institute,36087,36088
AL-Tyler,36785,36785
AL-Union Grove,35175,35175
AL-Union Springs,36089,36089
AL-Uniontown,36786,36786
AL-Uriah,36480,36480
AL-Valhermoso Springs,35775,35775
AL-Valley,36854,36872
AL-Valley Head,35989,35989
AL-Vance,35490,35490
AL-Vandiver,35176,35176
AL-Verbena,36091,36091
AL-Vernon,35592,35592
AL-Vina,35593,35593
AL-Vincent,35178,35178
AL-Vinegar Bend,36584,36584
AL-Vinemont,35179,35179
AL-Vredenburgh,36481,36481
AL-Wadley,36276,36276
AL-Wagarville,36585,36585
AL-Walnut Grove,35990,35990
AL-Ward,36922,36922
AL-Warrior,35180,35180
AL-Waterloo,35677,35677
AL-Watson,35181,35181
AL-Wattsville,35182,35182
AL-Waverly,36879,36879
AL-Weaver,36277,36277
AL-Webb,36376,36376
AL-Wedowee,36278,36278
AL-Wellington,36279,36279
AL-Weogufka,35183,35183
AL-West Blocton,35184,35184
AL-West Greene,35491,35491
AL-Westover,35185,35185
AL-Wetumpka,36092,36093
AL-Whatley,36482,36482
AL-Wilmer,36587,36587
AL-Wilsonville,35186,35186
AL-Wilton,35187,35187
AL-Winfield,35594,35594
AL-Wing,36483,36483
AL-Woodland,36280,36280
AL-Woodstock,35188,35188
AL-Woodville,35776,35776
AL-York,36925,36925
AR-Adona,72001,72001
AR-Alexander,72002,72002
AR-Alicia,72410,72410
AR-Alix,72820,72820
AR-Alleene,71820,71820
AR-Alma,72921,72921
AR-Almyra,72003,72003
AR-Alpena,72611,72611
AR-Alpine,71920,71920
AR-Altheimer,72004,72004
AR-Altus,72821,72821
AR-Amagon,72005,72005
AR-Amity,71921,71921
AR-Antoine,71922,71922
AR-Arkadelphia,71923,71999
AR-Arkansas City,71630,71630
AR-Armorel,72310,72310
AR-Ash Flat,72513,72513
AR-Ashdown,71822,71822
AR-Atkins,72823,72823
AR-Aubrey,72311,72311
AR-Augusta,72006,72006
AR-Austin,72007,72007
AR-Avoca,72711,72711
AR-Bald Knob,72010,72010
AR-Banks,71631,71631
AR-Barling,72923,72923
AR-Barton,72312,72312
AR-Bassett,72313,72313
AR-Batesville,72501,72503
AR-Bauxite,72011,72011
AR-Bay,72411,72411
AR-Bearden,71720,71720
AR-Beaver,72613,72613
AR-Bee Branch,72013,72013
AR-Beebe,72012,72012
AR-Beech Grove,72412,72412
AR-Beedeville,72014,72014
AR-Beirne,71721,71721
AR-Bella Vista,72714,72715
AR-Belleville,72824,72824
AR-Ben Lomond,71823,71823
AR-Benton,72015,72158
AR-Bentonville,72712,72716
AR-Bergman,72615,72615
AR-Berryville,72616,72616
AR-Bexar,72515,72515
AR-Big Flat,72617,72617
AR-Bigelow,72016,72016
AR-Biggers,72413,72413
AR-Biscoe,72017,72017
AR-Bismarck,71929,71929
AR-Black Oak,72414,72414
AR-Black Rock,72415,72415
AR-Blevins,71825,71825
AR-Blue Mountain,72826,72826
AR-Bluff City,71722,71722
AR-Bluffton,72827,72827
AR-Blytheville,72315,72316
AR-Board Camp,71932,71932
AR-Boles,72926,72926
AR-Bonnerdale,71933,71933
AR-Bono,72416,72416
AR-Booneville,72927,72927
AR-Bradford,72020,72020
AR-Bradley,71826,71826
AR-Branch,72928,72928
AR-Brickeys,72320,72320
AR-Briggsville,72828,72828
AR-Brinkley,72021,72021
AR-Brockwell,72517,72517
AR-Brookland,72417,72417
AR-Bryant,72022,72089
AR-Buckner,71827,71827
AR-Bull Shoals,72619,72619
AR-Burdette,72321,72321
AR-Cabot,72023,72023
AR-Caddo Gap,71935,71935
AR-Caldwell,72322,72322
AR-Cale,71828,71828
AR-Calico Rock,72519,72519
AR-Calion,71724,71724
